SKU,Name,Seller,Category,AttributeSet,Res1,Res2,Res3,MoonBoy_MRP,MoonBoy_Price,MoonBoy_Shipping,MoonBoy_Seller,PayTm_MRP,PayTm_Price,PayTm_Shipping,PayTm_Seller,PayTm_Promo,ShopClues_MRP,ShopClues_Price,ShopClues_Shipping,ShopClues_Seller,ShopClues_Promo,Amazon_MRP,Amazon_Price,Amazon_Shipping,Amazon_Seller,Amazon_Promo,Amazon_OfferPrice,Snapdeal_MRP,Snapdeal_Price,Snapdeal_Shipping,Snapdeal_Seller,Snapdeal_Promo,Flipkart_MRP,Flipkart_Price,Flipkart_Shipping,Flipkart_Seller,Flipkart_Promo,Tatacliq_MRP,Tatacliq_Price,Tatacliq_Shipping,Tatacliq_Seller,Tatacliq_Promo,Infibeam_MRP,Infibeam_Price,Infibeam_Shipping,Infibeam_Seller,Infibeam_Promo,Togofogo_MRP,Togofogo_Price,Togofogo_Shipping,Togofogo_Seller,Togofogo_Promo,Pepperfry_MRP,Pepperfry_Price,Pepperfry_Shipping,Pepperfry_Seller,Pepperfry_Promo,Fabfurnish_MRP,Fabfurnish_Price,Fabfurnish_Shipping,Fabledeal_MRP,Fabledeal_Price,Fabledeal_Shipping,Fabledeal_Seller,TrendyBharat_MRP,TrendyBharat_Price,TrendyBharat_Shipping,TrendyBharat_Seller,TrendyBharat_Promo,Limeroad_MRP,Limeroad_Price,Limeroad_Shipping,Limeroad_Seller,Limeroad_Promo,Ebay_MRP,Ebay_Price,Ebay_Shipping,Ebay_Seller
BZCG-650-PD03-8GB1,Ambrane Power Bank P-1333 13000mAh, B.J.Infotech,Cat1,Attr1,,,,"NA","NA","NA","NA","Rs 2499","Buy for Rs 999","NA","Bj Infotech(A unit of Ambrane India Pvt Ltd )","PB15: Free Movie Ticket* and FLAT 15% cashback* on shopping order (Max Cashback Rs. 600). Your unique movie ticket promo code will be sent to you via email. COD not applicable.","NA","NA","NA","NA","NA","2,499.00","1,029.00","FREE Delivery","B J INFOTECH(A unit of AIPL)","NA","NA","NA","Rs. 960","NA","B J Infotech (A Unit Of Ambrane India Pvt. Ltd.)","10% Instant Discount Using HSBC Credit & Debit Cards T&C","₹2,499","₹999","NA","BJINFOTECH","Special PriceExtra ₹100 off on Ambrane Power BanksT&C","₹2499","₹949","NA","Ambrane India Private Limited","OFFER: Special Price OFF","NA","NA","Shipping charges may apply on this item","AIPL","NA","2,599","1,115","NA","BJ INFOTECH (A Unit of Ambrane India Pvt Ltd)","1 Brand New offers from
1115.00"
BZCG-650-PD03-8GB2,Bohemia crystal Sandra hi ball glass (380ml) set of 6 pcs, Smartserve Houseware Pvt Ltd,Cat2,Attr2,,,,"2299","1839","(Shipping charges free)","Smartserve Houseware Pvt Ltd","Rs 2299","Buy for Rs 1954","NA","SmartServe","NA","Rs.2,299","Rs.1,839","Free Shipping","SMARTSERVE HOUSEWARE","5% Cashback on Vodafone m-pesa, Max Cashback Rs 200 T&C","NA","NA","NA","SmartServe","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,"NA","1839","NA","NA","NA","NA","NA","NA"
BZCG-650-PD03-8GB3,Plumeria V Salad Bowl With Coner Handles-MED,Blur Flame,Cat3,,,,,"4700","1975","(Shipping charges free)","Blue Flame",,,,,,,,,,,"NA","NA","FREE Delivery","Plumeria.","NA","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA","NA","NA","NA"
,WOAKERS Men's Elara Lace Up IDP Navy Blue Synthetic Leather Sneakers,sheela Enterprises,Cat4,Attr4,,,,"1299","699","(Shipping charges free)","SHEELA ENTERPRISES","Rs 1299","Buy for Rs 440","NA","SHEELA ENTERPRISES","WIN1LAKH: Buy any footwear article & stand a chance to win Rs.1 Lac Paytm Cashback* every week. COD option will not be available on applying this promocode.",,,,,,,,,,,,"NA","Rs. 599","NA","SHEELA ENTERPRISES","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rs.1,299.00","Rs.699.00","FREE SHIPPING*","NA","NA","1299","675","NA","WOAKERS","NA"
BZCG-650-PD03-8GB5,Good Life Stuff Genuine Leather Wallet for Men in Black,,Cat5,Attr5,,,,"1499","599","(Shipping charges free)","GOOD LIFE STUFF",,,,,,,,,,,"1,499.00","NA","NA","Good Life Stuff","NA","NA",,,,,,"₹1,199","₹684","NA","Goodlifestuff","Bank OfferExtra 5% off* on Axis Bank Buzz Credit CardsT&C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rs. 1,199.00","Rs. 599.50","FREE","farhanonline13"
BZCG-650-PD03-8GB6,Kataria Jewellers The Terceira Silver Swarovski Bis Hallmarked Earrings,Kataria Jewellers ,Cat6,Attr6,,,,"NA","NA","NA","NA",,,,,,,,,,,"NA","5,729.00","NA","Kataria Jewellers Pvt Ltd","NA","NA","NA","Rs. 4,499","NA","Kataria Jewellers","NA"
,KDM Sports Football,KDM Sports Pvt Ltd,,Attr7,,,,"699","349","(Shipping charges free)","KDM SPORTS PVT LTD","Rs 699","Buy for Rs 349","NA","KDM sports Pvt Ltd","Use Promocode SPO10 to get 10% Cashback* on minimum order value Rs.99. (Max Cashback Rs.10000). COD Option Will Not Be Available On Applying This Promocode.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","699.00","NA","Rs. 385","NA","KDM International","10% Instant Discount Using HSBC Credit & Debit Cards T&C"
BZCG-650-PD03-8GB7,,Kataria Jewellers ,Cat7,Attr7,,,,"NA","NA","NA","NA"
